Line number in file, origami,status,error,error location,orientation,decoded index,decoded origami, decoded data,decoding time,fit quality
110000110111001110001010001100001011100101000000,1,8,[(2  1)  (0  3)  (5  6)  (5  4)  (3  7)  (0  4)  (3  6)  (4  1)],3,13,010100101001111111001100010100111100111011011011,0101001001110110,7.174,355,1.3061842338186926
001001010100000101000111010110000000011000001000,1,7,[(4  7)  (4  0)  (2  0)  (0  0)  (1  2)  (4  3)  (4  1)],3,6,000100001110101100011010111000111000011010100101,0001000001101001,0.422,360,0.9747994500718772
000010100010001010000000001000001001001000110010,1,7,[(1  7)  (0  3)  (4  7)  (0  7)  (5  1)  (3  6)  (4  2)],3,12,010011101100110101000100000000011100010011011000,0100111001000110,11.673,365,1.4664641731002743
000001010001000101000000000100000100100100011001,0,8,[(4  0)  (0  0)  (2  3)  (4  5)  (4  6)  (2  7)  (3  6)  (1  2)],3,6,100110001111001101001000100010101000110010100001,1001100000100001,16.818,366,1.4664641731002743
010011101101000110111000001010011100001000110100,1,4,[(5  0)  (0  3)  (0  7)  (1  5)],0,5,010111111101010110111000001010011100001010110100,0101111101001011,0.049,369,0.9792416691263186
010111101111010110111000001000011100000010110100,0,8,[(1  4)  (3  5)  (1  6)  (3  4)  (4  6)  (2  7)  (4  3)  (2  5)],0,5,010111101111111110111101001011011101001010110100,0101111011001011,0.36,371,1.128483020545061
011011000101000100000110110101101111110000000000,1,7,[(1  0)  (5  4)  (5  1)  (3  4)  (5  2)  (0  6)  (1  5)],0,10,011011101101010100000110110111101111110001101000,0110111000000101,1.043,372,0.9978256247527
101001010110000111000111010110001101011100001000,1,0,[],3,6,000100001110101100011010111000111000011010100101,0001000001101001,0.001,381,0.8692985915140665
010010001001001001111110010010001100000000000000,0,7,[(4  5)  (3  0)  (0  3)  (1  7)  (1  5)  (3  6)  (3  5)],0,2,010110001001011101111110110011101100010000000000,0101100000000000,11.615,385,1.3196719451967105
000010001101010100101100000010111001010010101100,0,8,[(2  0)  (5  1)  (3  1)  (1  4)  (1  6)  (5  7)  (4  4)  (4  6)],0,13,000010001101111110101100010010111001111011101101,0000100001101101,0.109,389,1.264659096518029
001001101101010100000100010111001011100001101000,1,7,[(3  0)  (0  1)  (2  6)  (4  5)  (0  4)  (3  6)  (4  1)],0,10,011011101101010100000110110111101111110001101000,0110111000000101,1.033,391,1.2770225710009977
000101110010101111010000001101101010100101000000,0,8,[(1  3)  (5  3)  (0  0)  (0  1)  (2  7)  (5  6)  (4  3)  (4  5)],3,14,010010101011110101101100100010111101110011101011,0100101001110101,19.483,392,1.0290284562447354
000101001001110111000100010101001100011000011001,0,7,[(3  2)  (0  7)  (5  6)  (0  2)  (2  3)  (1  6)  (1  1)],0,1,001101011101111111010100011101001100011000011011,0011010100110110,7.472,399,1.153080525914456
101001000000010111000010001000100011111100000100,0,8,[(3  3)  (3  4)  (0  6)  (3  0)  (1  4)  (1  0)  (2  2)  (1  2)],2,0,011001011011010101000111010111011111110000100000,0110010111000001,2.48,403,1.4681653592277455
001001100000011100111010001101110100011000101010,1,8,[(1  0)  (4  0)  (0  3)  (4  4)  (1  2)  (1  1)  (1  3)  (4  3)],0,0,001101101111011100111010001101111101111000101010,0011011001010101,0.383,409,1.4546507825321413
111000100000100111010000000101101010100101010000,1,7,[(0  5)  (2  7)  (0  7)  (3  2)  (0  3)  (1  2)  (4  6)],3,14,000010101101010101101100100010111001010011101111,0000101001111101,1.399,410,1.287177189172592
000010000001001100110110010001000000100000000001,0,8,[(1  4)  (0  5)  (1  0)  (5  5)  (0  3)  (0  6)  (4  0)  (4  2)],0,0,000111101001101100110110010001001010100000000101,0001111000101000,28.471,416,0.8996209818429908
001000000011110100000100010000111110010000000001,1,7,[(5  5)  (5  2)  (3  3)  (5  1)  (1  0)  (2  1)  (1  6)],0,8,001000001011111101000100010100111110010001100101,0010000001101001,0.59,417,1.088023370015846
000001001100110101000000000000011100010000011000,0,8,[(5  0)  (0  1)  (3  4)  (5  2)  (4  3)  (2  4)  (2  6)  (1  2)],0,4,010001001110110101001010000010011101010010111000,0100010001000111,1.633,426,1.1270833994190732
010100101001111001000000010000100100111011011010,1,8,[(5  7)  (2  4)  (3  7)  (3  3)  (2  0)  (4  0)  (1  7)  (2  5)],0,13,010100101001111111001100010100111100111011011011,0101001001110110,1.777,429,1.358951949924335
